A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
9.86,2L5X3-1/2X5/8X3/8LLBB,2L5X3-1/2X5/8X3/8LLBB,0.711,24,22.2,7.26,6.02,F,2L,33.6,13,11.2,3.5,8,5,2.57,1.56,1.5,0.625,1.69,1.06
5.12,2L5X3-1/2X5/16X3/8LLBB,2L5X3-1/2X5/16X3/8LLBB,0.698,13.2,10.6,3.84,2.87,F,2L,17.4,6.9,5.2,3.5,16,5,2.58,1.6,1.44,0.313,1.57,0.904
5.78,2L6X3-1/2X5/16X3/4LLBB,2L6X3-1/2X5/16X3/4LLBB,0.641,21.8,13,5.44,3.35,F,2L,19.6,9.68,6.54,3.5,19.2,6,3.07,1.94,1.5,0.313,2,1.38
6.1,2L5X3-1/2X3/8LLBB,2L5X3-1/2X3/8LLBB,0.683,15.5,10.8,4.56,3.09,F,2L,20.8,8.18,5.21,3.5,13.3,5,2.51,1.59,1.33,0.375,1.6,0.933
11.7,2L5X3-1/2X3/4LLBB,2L5X3-1/2X3/4LLBB,0.699,27.8,22.6,8.52,6.46,F,2L,39.6,15.2,11.6,3.5,6.67,5,2.49,1.55,1.39,0.75,1.74,1.1
8,2L5X3-1/2X1/2LLBB,2L5X3-1/2X1/2LLBB,0.688,20,14.6,5.94,4.17,F,2L,27.2,10.7,7.21,3.5,10,5,2.5,1.58,1.35,0.5,1.65,1
5.78,2L6X3-1/2X5/16X3/8LLBB,2L6X3-1/2X5/16X3/8LLBB,0.625,21.8,10.8,5.44,2.93,F,2L,19.6,9.68,5.45,3.5,19.2,6,3,1.94,1.37,0.313,2,1.38
11.7,2L5X3-1/2X3/4X3/8LLBB,2L5X3-1/2X3/4X3/8LLBB,0.717,27.8,27.4,8.52,7.43,F,2L,39.6,15.2,13.8,3.5,6.67,5,2.57,1.55,1.53,0.75,1.74,1.1
5.12,2L5X3-1/2X5/16X3/4LLBB,2L5X3-1/2X5/16X3/4LLBB,0.716,13.2,12.8,3.84,3.3,F,2L,17.4,6.9,6.16,3.5,16,5,2.66,1.6,1.58,0.313,1.57,0.904
4.14,2L5X3-1/2X1/4LLBB,2L5X3-1/2X1/4LLBB,0.68,10.7,7.1,3.1,2.03,F,2L,14,5.56,3.33,3.5,20,5,2.52,1.61,1.31,0.25,1.55,0.86
4.14,2L5X3-1/2X1/4X3/8LLBB,2L5X3-1/2X1/4X3/8LLBB,0.696,10.7,8.47,3.1,2.3,F,2L,14,5.56,4.1,3.5,20,5,2.58,1.61,1.43,0.25,1.55,0.86
8,2L5X3-1/2X1/2X3/8LLBB,2L5X3-1/2X1/2X3/8LLBB,0.705,20,17.5,5.94,4.75,F,2L,27.2,10.7,8.71,3.5,10,5,2.58,1.58,1.48,0.5,1.65,1
4.14,2L5X3-1/2X1/4X3/4LLBB,2L5X3-1/2X1/4X3/4LLBB,0.714,10.7,10.2,3.1,2.63,F,2L,14,5.56,4.88,3.5,20,5,2.66,1.61,1.57,0.25,1.55,0.86
7.5,2L5X3X1/2LLBB,2L5X3X1/2LLBB,0.628,18.9,9.24,5.78,3.08,F,2L,25.6,10.2,5.6,3,10,5,2.44,1.58,1.11,0.5,1.74,1.25
7.5,2L5X3X1/2X3/8LLBB,2L5X3X1/2X3/8LLBB,0.646,18.9,11.5,5.78,3.61,F,2L,25.6,10.2,7,3,10,5,2.51,1.58,1.24,0.5,1.74,1.25
7.5,2L5X3X1/2X3/4LLBB,2L5X3X1/2X3/4LLBB,0.667,18.9,14.5,5.78,4.3,F,2L,25.6,10.2,8.41,3,10,5,2.58,1.58,1.39,0.5,1.74,1.25
6.62,2L5X3X7/16LLBB,2L5X3X7/16LLBB,0.626,16.8,8.01,5.12,2.67,F,2L,22.6,9.06,4.78,3,11.4,5,2.45,1.59,1.1,0.438,1.72,1.22
6.62,2L5X3X7/16X3/8LLBB,2L5X3X7/16X3/8LLBB,0.644,16.8,10,5.12,3.14,F,2L,22.6,9.06,6.02,3,11.4,5,2.51,1.59,1.23,0.438,1.72,1.22
5.72,2L5X3X3/8LLBB,2L5X3X3/8LLBB,0.624,14.7,6.8,4.44,2.27,F,2L,19.6,7.86,3.99,3,13.3,5,2.45,1.6,1.09,0.375,1.69,1.19
6.62,2L5X3X7/16X3/4LLBB,2L5X3X7/16X3/4LLBB,0.664,16.8,12.6,5.12,3.73,F,2L,22.6,9.06,7.26,3,11.4,5,2.58,1.59,1.38,0.438,1.72,1.22
5.72,2L5X3X3/8X3/4LLBB,2L5X3X3/8X3/4LLBB,0.661,14.7,10.6,4.44,3.14,F,2L,19.6,7.86,6.14,3,13.3,5,2.59,1.6,1.36,0.375,1.69,1.19
5.72,2L5X3X3/8X3/8LLBB,2L5X3X3/8X3/8LLBB,0.642,14.7,8.51,4.44,2.67,F,2L,19.6,7.86,5.07,3,13.3,5,2.51,1.6,1.22,0.375,1.69,1.19
4.82,2L5X3X5/16X3/4LLBB,2L5X3X5/16X3/4LLBB,0.659,12.5,8.78,3.74,2.6,F,2L,16.4,6.64,5.05,3,16,5,2.59,1.61,1.35,0.313,1.67,1.14
3.88,2L5X3X1/4X3/8LLBB,2L5X3X1/4X3/8LLBB,0.638,10.2,5.49,3.02,1.72,F,2L,13.2,5.36,3.24,3,20,5,2.52,1.62,1.19,0.25,1.64,1.12
4.82,2L5X3X5/16X3/8LLBB,2L5X3X5/16X3/8LLBB,0.64,12.5,7.06,3.74,2.21,F,2L,16.4,6.64,4.15,3,16,5,2.52,1.61,1.21,0.313,1.67,1.14
3.88,2L5X3X1/4LLBB,2L5X3X1/4LLBB,0.622,10.2,4.44,3.02,1.48,F,2L,13.2,5.36,2.51,3,20,5,2.46,1.62,1.07,0.25,1.64,1.12
4.82,2L5X3X5/16LLBB,2L5X3X5/16LLBB,0.623,12.5,5.62,3.74,1.87,F,2L,16.4,6.64,3.24,3,16,5,2.46,1.61,1.08,0.313,1.67,1.14
3.88,2L5X3X1/4X3/4LLBB,2L5X3X1/4X3/4LLBB,0.657,10.2,6.86,3.02,2.03,F,2L,13.2,5.36,3.97,3,20,5,2.59,1.62,1.33,0.25,1.64,1.12
7,2L4X3-1/2X1/2LLBB,2L4X3-1/2X1/2LLBB,0.784,10.6,14.5,3.84,4.14,F,2L,23.8,6.92,6.96,3.5,8,4,2.14,1.23,1.44,0.5,1.24,0.5
7,2L4X3-1/2X1/2X3/8LLBB,2L4X3-1/2X1/2X3/8LLBB,0.802,10.6,17.3,3.84,4.69,F,2L,23.8,6.92,8.27,3.5,8,4,2.23,1.23,1.57,0.5,1.24,0.5
7,2L4X3-1/2X1/2X3/4LLBB,2L4X3-1/2X1/2X3/4LLBB,0.819,10.6,20.7,3.84,5.34,F,2L,23.8,6.92,9.58,3.5,8,4,2.33,1.23,1.72,0.5,1.24,0.5
5.36,2L4X3-1/2X3/8LLBB,2L4X3-1/2X3/8LLBB,0.778,8.3,10.8,2.96,3.09,F,2L,18.2,5.32,5.08,3.5,10.7,4,2.14,1.25,1.42,0.375,1.2,0.427
5.36,2L4X3-1/2X3/8X3/8LLBB,2L4X3-1/2X3/8X3/8LLBB,0.795,8.3,12.9,2.96,3.5,F,2L,18.2,5.32,6.08,3.5,10.7,4,2.23,1.25,1.55,0.375,1.2,0.427
4.5,2L4X3-1/2X5/16LLBB,2L4X3-1/2X5/16LLBB,0.775,7.06,8.82,2.5,2.52,F,2L,15.4,4.48,4.15,3.5,12.8,4,2.14,1.25,1.4,0.313,1.17,0.4
4.5,2L4X3-1/2X5/16X3/4LLBB,2L4X3-1/2X5/16X3/4LLBB,0.81,7.06,12.7,2.5,3.28,F,2L,15.4,4.48,5.84,3.5,12.8,4,2.33,1.25,1.68,0.313,1.17,0.4
4.5,2L4X3-1/2X5/16X3/8LLBB,2L4X3-1/2X5/16X3/8LLBB,0.792,7.06,10.5,2.5,2.85,F,2L,15.4,4.48,5,3.5,12.8,4,2.23,1.25,1.53,0.313,1.17,0.4
3.64,2L4X3-1/2X1/4LLBB,2L4X3-1/2X1/4LLBB,0.773,5.78,7.03,2.02,2.01,F,2L,12.4,3.62,3.27,3.5,16,4,2.14,1.26,1.39,0.25,1.14,0.36
3.64,2L4X3-1/2X1/4X3/8LLBB,2L4X3-1/2X1/4X3/8LLBB,0.79,5.78,8.41,2.02,2.28,F,2L,12.4,3.62,3.95,3.5,16,4,2.22,1.26,1.52,0.25,1.14,0.36
3.64,2L4X3-1/2X1/4X3/4LLBB,2L4X3-1/2X1/4X3/4LLBB,0.807,5.78,10,2.02,2.58,F,2L,12.4,3.62,4.63,3.5,16,4,2.32,1.26,1.66,0.25,1.14,0.36
5.36,2L4X3-1/2X3/8X3/4LLBB,2L4X3-1/2X3/8X3/4LLBB,0.813,8.3,15.3,2.96,3.95,F,2L,18.2,5.32,7.09,3.5,10.7,4,2.33,1.25,1.69,0.375,1.2,0.427
7.98,2L4X3X5/8X3/8LLBB,2L4X3X5/8X3/8LLBB,0.75,12,14.5,4.56,4.55,F,2L,27.2,8.16,8.41,3,6.4,4,2.11,1.23,1.35,0.625,1.37,0.808
7.98,2L4X3X5/8LLBB,2L4X3X5/8LLBB,0.728,12,11.7,4.56,3.9,F,2L,27.2,8.16,6.92,3,6.4,4,2.02,1.23,1.21,0.625,1.37,0.808
7.98,2L4X3X5/8X3/4LLBB,2L4X3X5/8X3/4LLBB,0.773,12,18,4.56,5.33,F,2L,27.2,8.16,9.91,3,6.4,4,2.21,1.23,1.5,0.625,1.37,0.808
6.5,2L4X3X1/2LLBB,2L4X3X1/2LLBB,0.721,10,9.2,3.74,3.07,F,2L,22.2,6.72,5.34,3,8,4,2.02,1.24,1.19,0.5,1.32,0.75
6.5,2L4X3X1/2X3/8LLBB,2L4X3X1/2X3/8LLBB,0.743,10,11.3,3.74,3.55,F,2L,22.2,6.72,6.56,3,8,4,2.11,1.24,1.32,0.5,1.32,0.75
6.5,2L4X3X1/2X3/4LLBB,2L4X3X1/2X3/4LLBB,0.765,10,14,3.74,4.15,F,2L,22.2,6.72,7.78,3,8,4,2.2,1.24,1.47,0.5,1.32,0.75
4.98,2L4X3X3/8LLBB,2L4X3X3/8LLBB,0.715,7.88,6.82,2.88,2.27,F,2L,17,5.2,3.86,3,10.7,4,2.03,1.26,1.17,0.375,1.27,0.68
4.98,2L4X3X3/8X3/8LLBB,2L4X3X3/8X3/8LLBB,0.736,7.88,8.42,2.88,2.64,F,2L,17,5.2,4.79,3,10.7,4,2.11,1.26,1.3,0.375,1.27,0.68
4.98,2L4X3X3/8X3/4LLBB,2L4X3X3/8X3/4LLBB,0.757,7.88,10.3,2.88,3.05,F,2L,17,5.2,5.73,3,10.7,4,2.2,1.26,1.44,0.375,1.27,0.68
4.18,2L4X3X5/16LLBB,2L4X3X5/16LLBB,0.712,6.72,5.62,2.44,1.87,F,2L,14.4,4.38,3.14,3,12.8,4,2.03,1.27,1.16,0.313,1.25,0.656
4.18,2L4X3X5/16X3/8LLBB,2L4X3X5/16X3/8LLBB,0.733,6.72,6.96,2.44,2.18,F,2L,14.4,4.38,3.92,3,12.8,4,2.11,1.27,1.29,0.313,1.25,0.656
4.18,2L4X3X5/16X3/4LLBB,2L4X3X5/16X3/4LLBB,0.754,6.72,8.55,2.44,2.53,F,2L,14.4,4.38,4.7,3,12.8,4,2.2,1.27,1.43,0.313,1.25,0.656
3.38,2L4X3X1/4LLBB,2L4X3X1/4LLBB,0.71,5.5,4.47,1.98,1.49,F,2L,11.6,3.54,2.45,3,16,4,2.03,1.27,1.15,0.25,1.22,0.62
3.38,2L4X3X1/4X3/8LLBB,2L4X3X1/4X3/8LLBB,0.73,5.5,5.45,1.98,1.71,F,2L,11.6,3.54,3.08,3,16,4,2.11,1.27,1.27,0.25,1.22,0.62
3.38,2L4X3X1/4X3/4LLBB,2L4X3X1/4X3/4LLBB,0.751,5.5,6.72,1.98,1.99,F,2L,11.6,3.54,3.72,3,16,4,2.2,1.27,1.41,0.25,1.22,0.62
6.04,2L3-1/2X3X1/2LLBB,2L3-1/2X3X1/2LLBB,0.78,6.9,9.14,2.9,3.05,F,2L,20.4,5.22,5.25,3,7,3.5,1.85,1.07,1.23,0.5,1.12,0.48
6.04,2L3-1/2X3X1/2X3/8LLBB,2L3-1/2X3X1/2X3/8LLBB,0.801,6.9,11.3,2.9,3.55,F,2L,20.4,5.22,6.38,3,7,3.5,1.94,1.07,1.37,0.5,1.12,0.48
5.34,2L3-1/2X3X7/16LLBB,2L3-1/2X3X7/16LLBB,0.776,6.2,7.95,2.58,2.65,F,2L,18.2,4.64,4.52,3,7.99,3.5,1.85,1.08,1.22,0.438,1.09,0.449
6.04,2L3-1/2X3X1/2X3/4LLBB,2L3-1/2X3X1/2X3/4LLBB,0.822,6.9,14,2.9,4.15,F,2L,20.4,5.22,7.51,3,7,3.5,2.05,1.07,1.52,0.5,1.12,0.48
5.34,2L3-1/2X3X7/16X3/8LLBB,2L3-1/2X3X7/16X3/8LLBB,0.797,6.2,9.88,2.58,3.1,F,2L,18.2,4.64,5.52,3,7.99,3.5,1.94,1.08,1.36,0.438,1.09,0.449
5.34,2L3-1/2X3X7/16X3/4LLBB,2L3-1/2X3X7/16X3/4LLBB,0.818,6.2,12.2,2.58,3.61,F,2L,18.2,4.64,6.52,3,7.99,3.5,2.05,1.08,1.51,0.438,1.09,0.449
4.64,2L3-1/2X3X3/8LLBB,2L3-1/2X3X3/8LLBB,0.773,5.46,6.79,2.24,2.26,F,2L,15.8,4.06,3.82,3,9.33,3.5,1.85,1.09,1.21,0.375,1.07,0.407
4.64,2L3-1/2X3X3/8X3/8LLBB,2L3-1/2X3X3/8X3/8LLBB,0.794,5.46,8.46,2.24,2.65,F,2L,15.8,4.06,4.69,3,9.33,3.5,1.94,1.09,1.35,0.375,1.07,0.407
3.9,2L3-1/2X3X5/16LLBB,2L3-1/2X3X5/16LLBB,0.77,4.66,5.62,1.9,1.87,F,2L,13.2,3.44,3.11,3,11.2,3.5,1.85,1.09,1.2,0.313,1.05,0.38
4.64,2L3-1/2X3X3/8X3/4LLBB,2L3-1/2X3X3/8X3/4LLBB,0.814,5.46,10.3,2.24,3.05,F,2L,15.8,4.06,5.56,3,9.33,3.5,2.05,1.09,1.49,0.375,1.07,0.407
3.9,2L3-1/2X3X5/16X3/8LLBB,2L3-1/2X3X5/16X3/8LLBB,0.79,4.66,6.9,1.9,2.16,F,2L,13.2,3.44,3.84,3,11.2,3.5,1.94,1.09,1.33,0.313,1.05,0.38
3.16,2L3-1/2X3X1/4LLBB,2L3-1/2X3X1/4LLBB,0.767,3.84,4.47,1.55,1.49,F,2L,10.8,2.78,2.44,3,14,3.5,1.85,1.1,1.19,0.25,1.02,0.34
3.16,2L3-1/2X3X1/4X3/4LLBB,2L3-1/2X3X1/4X3/4LLBB,0.807,3.84,6.74,1.55,2,F,2L,10.8,2.78,3.63,3,14,3.5,2.04,1.1,1.46,0.25,1.02,0.34
3.9,2L3-1/2X3X5/16X3/4LLBB,2L3-1/2X3X5/16X3/4LLBB,0.811,4.66,8.54,1.9,2.53,F,2L,13.2,3.44,4.57,3,11.2,3.5,2.04,1.09,1.48,0.313,1.05,0.38
3.16,2L3-1/2X3X1/4X3/8LLBB,2L3-1/2X3X1/4X3/8LLBB,0.787,3.84,5.51,1.55,1.73,F,2L,10.8,2.78,3.04,3,14,3.5,1.94,1.1,1.32,0.25,1.02,0.34
5.54,2L3-1/2X2-1/2X1/2LLBB,2L3-1/2X2-1/2X1/2LLBB,0.706,6.48,5.45,2.82,2.18,F,2L,18.8,5.04,3.88,2.5,7,3.5,1.75,1.08,0.992,0.5,1.2,0.73
5.54,2L3-1/2X2-1/2X1/2X3/8LLBB,2L3-1/2X2-1/2X1/2X3/8LLBB,0.732,6.48,7.07,2.82,2.63,F,2L,18.8,5.04,4.92,2.5,7,3.5,1.83,1.08,1.13,0.5,1.2,0.73
5.54,2L3-1/2X2-1/2X1/2X3/4LLBB,2L3-1/2X2-1/2X1/2X3/4LLBB,0.759,6.48,9.08,2.82,3.16,F,2L,18.8,5.04,5.96,2.5,7,3.5,1.93,1.08,1.28,0.5,1.2,0.73
4.24,2L3-1/2X2-1/2X3/8X3/8LLBB,2L3-1/2X2-1/2X3/8X3/8LLBB,0.724,5.12,5.22,2.18,1.94,F,2L,14.4,3.92,3.57,2.5,9.33,3.5,1.83,1.1,1.11,0.375,1.15,0.673
4.24,2L3-1/2X2-1/2X3/8X3/4LLBB,2L3-1/2X2-1/2X3/8X3/4LLBB,0.75,5.12,6.63,2.18,2.31,F,2L,14.4,3.92,4.37,2.5,9.33,3.5,1.93,1.1,1.25,0.375,1.15,0.673
4.24,2L3-1/2X2-1/2X3/8LLBB,2L3-1/2X2-1/2X3/8LLBB,0.698,5.12,3.99,2.18,1.6,F,2L,14.4,3.92,2.78,2.5,9.33,3.5,1.75,1.1,0.97,0.375,1.15,0.673
3.58,2L3-1/2X2-1/2X5/16X3/8LLBB,2L3-1/2X2-1/2X5/16X3/8LLBB,0.72,4.4,4.25,1.85,1.58,F,2L,12.2,3.34,2.93,2.5,11.2,3.5,1.83,1.11,1.09,0.313,1.13,0.636
3.58,2L3-1/2X2-1/2X5/16LLBB,2L3-1/2X2-1/2X5/16LLBB,0.695,4.4,3.3,1.85,1.32,F,2L,12.2,3.34,2.26,2.5,11.2,3.5,1.76,1.11,0.96,0.313,1.13,0.636
2.9,2L3-1/2X2-1/2X1/4LLBB,2L3-1/2X2-1/2X1/4LLBB,0.693,3.62,2.62,1.51,1.05,F,2L,9.8,2.72,1.76,2.5,14,3.5,1.76,1.12,0.95,0.25,1.1,0.6
3.58,2L3-1/2X2-1/2X5/16X3/4LLBB,2L3-1/2X2-1/2X5/16X3/4LLBB,0.746,4.4,5.5,1.85,1.91,F,2L,12.2,3.34,3.61,2.5,11.2,3.5,1.92,1.11,1.24,0.313,1.13,0.636
2.9,2L3-1/2X2-1/2X1/4X3/8LLBB,2L3-1/2X2-1/2X1/4X3/8LLBB,0.717,3.62,3.38,1.51,1.26,F,2L,9.8,2.72,2.3,2.5,14,3.5,1.83,1.12,1.08,0.25,1.1,0.6
2.9,2L3-1/2X2-1/2X1/4X3/4LLBB,2L3-1/2X2-1/2X1/4X3/4LLBB,0.742,3.62,4.32,1.51,1.5,F,2L,9.8,2.72,2.85,2.5,14,3.5,1.92,1.12,1.22,0.25,1.1,0.6
5,2L3X2-1/2X1/2LLBB,2L3X2-1/2X1/2LLBB,0.774,4.14,5.41,2.06,2.16,F,2L,17,3.72,3.73,2.5,6,3,1.57,0.91,1.04,0.5,0.995,0.5
5,2L3X2-1/2X1/2X3/8LLBB,2L3X2-1/2X1/2X3/8LLBB,0.8,4.14,6.96,2.06,2.59,F,2L,17,3.72,4.67,2.5,6,3,1.66,0.91,1.18,0.5,0.995,0.5
4.44,2L3X2-1/2X7/16LLBB,2L3X2-1/2X7/16LLBB,0.769,3.74,4.62,1.84,1.85,F,2L,15.2,3.32,3.21,2.5,6.85,3,1.57,0.917,1.02,0.438,0.972,0.463
5,2L3X2-1/2X1/2X3/4LLBB,2L3X2-1/2X1/2X3/4LLBB,0.824,4.14,8.84,2.06,3.07,F,2L,17,3.72,5.6,2.5,6,3,1.78,0.91,1.33,0.5,0.995,0.5
4.44,2L3X2-1/2X7/16X3/8LLBB,2L3X2-1/2X7/16X3/8LLBB,0.795,3.74,5.97,1.84,2.22,F,2L,15.2,3.32,4.05,2.5,6.85,3,1.66,0.917,1.16,0.438,0.972,0.463
4.44,2L3X2-1/2X7/16X3/4LLBB,2L3X2-1/2X7/16X3/4LLBB,0.819,3.74,7.74,1.84,2.69,F,2L,15.2,3.32,4.88,2.5,6.85,3,1.77,0.917,1.32,0.438,0.972,0.463
3.86,2L3X2-1/2X3/8LLBB,2L3X2-1/2X3/8LLBB,0.764,3.3,3.94,1.61,1.58,F,2L,13.2,2.9,2.71,2.5,8,3,1.57,0.924,1.01,0.375,0.949,0.427
3.86,2L3X2-1/2X3/8X3/8LLBB,2L3X2-1/2X3/8X3/8LLBB,0.79,3.3,5.1,1.61,1.9,F,2L,13.2,2.9,3.43,2.5,8,3,1.66,0.924,1.15,0.375,0.949,0.427
3.86,2L3X2-1/2X3/8X3/4LLBB,2L3X2-1/2X3/8X3/4LLBB,0.815,3.3,6.52,1.61,2.27,F,2L,13.2,2.9,4.15,2.5,8,3,1.77,0.924,1.3,0.375,0.949,0.427
3.26,2L3X2-1/2X5/16LLBB,2L3X2-1/2X5/16LLBB,0.76,2.82,3.26,1.36,1.3,F,2L,11.2,2.46,2.21,2.5,9.58,3,1.57,0.932,1,0.313,0.925,0.392
3.26,2L3X2-1/2X5/16X3/4LLBB,2L3X2-1/2X5/16X3/4LLBB,0.81,2.82,5.42,1.36,1.89,F,2L,11.2,2.46,3.43,2.5,9.58,3,1.76,0.932,1.29,0.313,0.925,0.392
3.26,2L3X2-1/2X5/16X3/8LLBB,2L3X2-1/2X5/16X3/8LLBB,0.785,2.82,4.24,1.36,1.58,F,2L,11.2,2.46,2.82,2.5,9.58,3,1.66,0.932,1.14,0.313,0.925,0.392
2.64,2L3X2-1/2X1/4X3/8LLBB,2L3X2-1/2X1/4X3/8LLBB,0.781,2.32,3.31,1.11,1.23,F,2L,9,2,2.22,2.5,12,3,1.66,0.94,1.12,0.25,0.9,0.36
2.64,2L3X2-1/2X1/4X3/4LLBB,2L3X2-1/2X1/4X3/4LLBB,0.806,2.32,4.26,1.11,1.48,F,2L,9,2,2.71,2.5,12,3,1.76,0.94,1.27,0.25,0.9,0.36
2.64,2L3X2-1/2X1/4LLBB,2L3X2-1/2X1/4LLBB,0.756,2.32,2.59,1.11,1.04,F,2L,9,2,1.72,2.5,12,3,1.57,0.94,0.991,0.25,0.9,0.36
2,2L3X2-1/2X3/16LLBB,2L3X2-1/2X3/16LLBB,0.753,1.8,1.92,0.846,0.768,F,2L,6.78,1.52,1.25,2.5,16,3,1.57,0.947,0.98,0.188,0.874,0.333
2,2L3X2-1/2X3/16X3/4LLBB,2L3X2-1/2X3/16X3/4LLBB,0.802,1.8,3.13,0.846,1.09,F,2L,6.78,1.52,2,2.5,16,3,1.75,0.947,1.25,0.188,0.874,0.333
2,2L3X2-1/2X3/16X3/8LLBB,2L3X2-1/2X3/16X3/8LLBB,0.778,1.8,2.46,0.846,0.915,F,2L,6.78,1.52,1.63,2.5,16,3,1.65,0.947,1.11,0.188,0.874,0.333
4.52,2L3X2X1/2LLBB,2L3X2X1/2LLBB,0.684,3.84,2.86,2,1.43,F,2L,15.4,3.56,2.62,2,6,3,1.47,0.922,0.795,0.5,1.08,0.74
4.52,2L3X2X1/2X3/8LLBB,2L3X2X1/2X3/8LLBB,0.717,3.84,3.99,2,1.82,F,2L,15.4,3.56,3.47,2,6,3,1.55,0.922,0.94,0.5,1.08,0.74
4.52,2L3X2X1/2X3/4LLBB,2L3X2X1/2X3/4LLBB,0.751,3.84,5.47,2,2.3,F,2L,15.4,3.56,4.32,2,6,3,1.66,0.922,1.1,0.5,1.08,0.74
3.5,2L3X2X3/8LLBB,2L3X2X3/8LLBB,0.675,3.08,2.08,1.56,1.04,F,2L,11.8,2.78,1.87,2,8,3,1.48,0.937,0.771,0.375,1.03,0.667
3.5,2L3X2X3/8X3/8LLBB,2L3X2X3/8X3/8LLBB,0.707,3.08,2.9,1.56,1.33,F,2L,11.8,2.78,2.53,2,8,3,1.55,0.937,0.911,0.375,1.03,0.667
3.5,2L3X2X3/8X3/4LLBB,2L3X2X3/8X3/4LLBB,0.739,3.08,4.01,1.56,1.69,F,2L,11.8,2.78,3.18,2,8,3,1.65,0.937,1.07,0.375,1.03,0.667
2.96,2L3X2X5/16LLBB,2L3X2X5/16LLBB,0.671,2.64,1.71,1.32,0.855,F,2L,10,2.38,1.51,2,9.58,3,1.48,0.945,0.76,0.313,1.01,0.632
2.96,2L3X2X5/16X3/8LLBB,2L3X2X5/16X3/8LLBB,0.702,2.64,2.38,1.32,1.09,F,2L,10,2.38,2.07,2,9.58,3,1.56,0.945,0.897,0.313,1.01,0.632
2.4,2L3X2X1/4LLBB,2L3X2X1/4LLBB,0.668,2.18,1.35,1.08,0.675,F,2L,8.2,1.94,1.17,2,12,3,1.48,0.953,0.749,0.25,0.98,0.6
2.96,2L3X2X5/16X3/4LLBB,2L3X2X5/16X3/4LLBB,0.734,2.64,3.26,1.32,1.37,F,2L,10,2.38,2.62,2,9.58,3,1.65,0.945,1.05,0.313,1.01,0.632
2.4,2L3X2X1/4X3/8LLBB,2L3X2X1/4X3/8LLBB,0.698,2.18,1.87,1.08,0.855,F,2L,8.2,1.94,1.62,2,12,3,1.56,0.953,0.883,0.25,0.98,0.6
2.4,2L3X2X1/4X3/4LLBB,2L3X2X1/4X3/4LLBB,0.73,2.18,2.55,1.08,1.07,F,2L,8.2,1.94,2.07,2,12,3,1.65,0.953,1.03,0.25,0.98,0.6
1.83,2L3X2X3/16X3/8LLBB,2L3X2X3/16X3/8LLBB,0.695,1.69,1.38,0.828,0.631,F,2L,6.14,1.49,1.19,2,16,3,1.55,0.961,0.869,0.188,0.952,0.555
1.83,2L3X2X3/16LLBB,2L3X2X3/16LLBB,0.666,1.69,0.999,0.828,0.5,F,2L,6.14,1.49,0.847,2,16,3,1.49,0.961,0.739,0.188,0.952,0.555
1.83,2L3X2X3/16X3/4LLBB,2L3X2X3/16X3/4LLBB,0.726,1.69,1.9,0.828,0.8,F,2L,6.14,1.49,1.54,2,16,3,1.64,0.961,1.02,0.188,0.952,0.555
3.1,2L2-1/2X2X3/8LLBB,2L2-1/2X2X3/8LLBB,0.754,1.83,2.06,1.09,1.03,F,2L,10.6,1.96,1.79,2,6.67,2.5,1.29,0.766,0.815,0.375,0.826,0.433
3.1,2L2-1/2X2X3/8X3/4LLBB,2L2-1/2X2X3/8X3/4LLBB,0.817,1.83,3.82,1.09,1.61,F,2L,10.6,1.96,2.95,2,6.67,2.5,1.49,0.766,1.11,0.375,0.826,0.433
2.64,2L2-1/2X2X5/16LLBB,2L2-1/2X2X5/16LLBB,0.748,1.58,1.71,0.93,0.855,F,2L,9,1.68,1.47,2,7.99,2.5,1.29,0.774,0.804,0.313,0.803,0.388
3.1,2L2-1/2X2X3/8X3/8LLBB,2L2-1/2X2X3/8X3/8LLBB,0.786,1.83,2.84,1.09,1.3,F,2L,10.6,1.96,2.37,2,6.67,2.5,1.38,0.766,0.957,0.375,0.826,0.433
2.64,2L2-1/2X2X5/16X3/8LLBB,2L2-1/2X2X5/16X3/8LLBB,0.781,1.58,2.35,0.93,1.07,F,2L,9,1.68,1.96,2,7.99,2.5,1.38,0.774,0.943,0.313,0.803,0.388
2.14,2L2-1/2X2X1/4LLBB,2L2-1/2X2X1/4LLBB,0.744,1.31,1.35,0.762,0.675,F,2L,7.24,1.38,1.14,2,10,2.5,1.29,0.782,0.794,0.25,0.779,0.36
2.64,2L2-1/2X2X5/16X3/4LLBB,2L2-1/2X2X5/16X3/4LLBB,0.812,1.58,3.19,0.93,1.34,F,2L,9,1.68,2.46,2,7.99,2.5,1.49,0.774,1.1,0.313,0.803,0.388
2.14,2L2-1/2X2X1/4X3/8LLBB,2L2-1/2X2X1/4X3/8LLBB,0.775,1.31,1.85,0.762,0.846,F,2L,7.24,1.38,1.54,2,10,2.5,1.38,0.782,0.93,0.25,0.779,0.36
2.14,2L2-1/2X2X1/4X3/4LLBB,2L2-1/2X2X1/4X3/4LLBB,0.806,1.31,2.5,0.762,1.05,F,2L,7.24,1.38,1.94,2,10,2.5,1.49,0.782,1.08,0.25,0.779,0.36
